,tree_id,width_cm_mid,width_cm_mid,X,X,Y,Y,Z,Z,number_of_trees
,,mean,std,median,std,median,std,median,std,count
0,-1.0,44.51,29.16,-5.6,11.56,0.14,1.01,0.57,8.47,26
1,0.0,72.47,4.19,4.08,0.04,0.17,0.02,1.04,0.04,12
2,1.0,46.95,3.48,4.97,0.01,0.12,0.01,-0.58,0.0,10
3,2.0,47.33,15.17,4.46,0.23,0.12,0.02,0.4,0.05,30
4,3.0,,,4.73,0.04,0.16,0.03,1.01,0.01,4
5,4.0,31.29,4.78,3.91,0.01,0.12,0.01,-0.52,0.0,22
6,5.0,71.75,19.92,3.55,0.02,0.16,0.15,1.07,0.03,12
7,6.0,74.87,6.79,3.0,0.01,0.19,0.01,1.09,0.04,17
8,7.0,35.98,13.58,3.46,0.03,0.12,0.01,0.44,0.01,9
9,8.0,41.59,11.33,2.39,0.03,0.19,0.02,1.1,0.03,15
10,9.0,22.97,2.56,2.89,0.0,0.11,0.01,-0.49,0.0,12
11,10.0,30.69,4.03,2.44,0.0,0.11,0.01,0.48,0.01,8
12,11.0,41.97,5.06,1.94,0.01,0.1,0.01,-0.45,0.0,13
13,12.0,75.47,6.4,0.85,0.01,0.1,0.02,1.1,0.01,11
14,13.0,35.49,8.45,1.41,0.05,0.1,0.01,0.51,0.05,18
15,14.0,65.86,1.63,2.09,0.12,0.12,0.0,0.46,0.03,3
16,15.0,35.47,4.18,0.91,0.02,0.1,0.1,-0.43,0.01,12
17,16.0,35.53,8.97,-0.55,0.08,0.08,0.01,0.55,0.07,20
18,17.0,20.82,5.13,-0.0,0.0,0.1,0.01,-0.4,0.01,10
19,18.0,41.74,2.99,-1.48,0.02,0.08,0.01,0.58,0.01,16
20,19.0,25.94,4.37,-1.06,0.01,0.08,0.01,-0.38,0.0,11
21,20.0,36.06,4.71,-1.98,0.02,0.07,0.01,-0.37,0.0,17
22,21.0,46.13,5.11,-2.97,0.01,0.08,0.01,-0.35,0.01,20
23,22.0,35.55,3.8,-3.5,0.01,0.06,0.01,0.6,0.01,14
24,23.0,36.07,1.86,-4.04,0.01,0.07,0.01,-0.32,0.0,11
25,24.0,42.87,2.95,-4.48,0.07,0.07,0.01,0.63,0.03,10
26,25.0,34.28,5.42,-5.12,0.02,0.06,0.01,-0.3,0.01,15
27,26.0,32.41,3.34,-5.41,0.07,0.07,0.01,0.64,0.09,14
28,27.0,41.48,4.54,-5.96,0.01,0.06,0.01,-0.29,0.0,15
29,28.0,13.79,0.33,-6.13,0.12,0.05,0.03,1.02,0.03,9
30,29.0,31.41,8.65,-6.41,0.19,0.06,0.01,0.67,0.1,16
31,30.0,34.37,2.5,-6.89,0.01,0.06,0.01,-0.26,0.0,18
32,31.0,43.63,2.33,-7.33,0.04,0.05,0.01,0.67,0.02,11
33,32.0,43.52,1.82,-8.24,0.02,0.03,0.0,0.69,0.01,5
