,tree_id,X,Y,Z,frame_number,number_of_trees,tree_trunk_number,width_units,width_cm,width_units_mid,width_cm_mid
0,1.0,4.980736080202437,0.13853308243175477,-0.5776247671237877,07816,6,1,1.9303150174837158,1648.2845164095315,0.052408728037719954,44.75150126630595
1,-1.0,5.181812758710827,0.1415571310541801,0.2869240702668234,07816,6,2,,,0.0451046173008105,38.51456453590514
2,-1.0,5.181812758710827,0.1415571310541801,0.2869240702668234,07816,6,3,1.2853952077172572,1097.5913253315618,0.024262607065037134,20.71769591533346
3,0.0,4.038229508918278,0.17878621010573215,1.0544738772130309,07816,6,4,,,0.07481276565330663,63.88217577919787
4,-1.0,5.511800181211691,0.14316690489764206,0.3390296519776639,07816,6,5,,,,
5,2.0,4.690414306472266,0.10437305167393562,1.0210144652566093,07816,6,6,,,,
6,1.0,4.973196424307838,0.13181814364510158,-0.5834292221168109,07821,5,1,1.8881274319201269,1612.2607879303264,0.049046275718672316,41.880323223109535
7,3.0,4.945161174292134,0.147104269819194,0.35880432951177,07821,5,2,1.6205490211865128,1383.7771739383386,0.08383410429289717,71.58544320562432
8,-1.0,3.9755415468429924,0.17662611290827812,1.1895706128212762,07821,5,3,0.06990455018225583,59.69107977110654,0.08025782234750856,68.53167731585616
9,2.0,4.756441633093745,0.16924925608865893,1.0015517176442685,07821,5,4,,,,
10,-1.0,5.511800181211691,0.14893555489385113,0.3390296519776639,07821,5,5,,,,
11,1.0,4.973196424307838,0.13033773987248654,-0.5803405256407057,07826,7,1,1.9516986912673782,1666.543908313092,0.05352890291065382,45.70801193011187
12,4.0,3.906075572585161,0.13544463481065594,-0.5224329956581624,07826,7,2,0.036404012193280884,31.085169565529153,0.03112637064638135,26.57862282775684
13,5.0,4.664245336310061,0.1399891428847525,0.3755690373556533,07826,7,3,0.06999520675220353,59.76849087717064,0.07011893181412376,59.87413897191571
14,-1.0,4.743812204005843,0.14123053787701045,0.5110319481277719,07826,7,4,0.07414289836960235,63.31018008845388,0.08282176486255688,70.72101258509488
15,-1.0,4.743812204005843,0.14123053787701045,0.5110319481277719,07826,7,5,0.07216842867087477,61.62419215225946,0.06413804174707916,54.7670925040765
16,0.0,4.079728481200371,0.15872690001034573,1.0382223693957267,07826,7,6,0.06822014894078779,58.252779565914146,0.07985998953281692,68.19197024077437
17,2.0,4.756441633093745,0.16093324302509393,1.0076121814867758,07826,7,7,0.05836918699198443,49.8411017284189,,
